text,clean_text,sentiment,emotion
LKY came out from his grave and disapproved this message.,LKY came out from his grave and disapproved this message.,negative,sadness
"Really hope everything goes back to normal asap. I was on leave started 1st may till today my company still haven't have an answer when we will going back to work.. Seriously, staying at home is no joke.. i gain 5kg... I've got a little depression during this period of time. I can't see myself starting work anytime soon. I need help.","Really hope everything goes back to normal asap. I was on leave started 1st may till today my company still haven't have an answer when we will going back to work.. Seriously, staying at home is no joke.. i gain 5kg... I've got a little depression during this period of time. I can't see myself starting work anytime soon. I need help.",negative,worry
Opposition & Opposition Supporter go away la.  Don’t try to Divide SG United & brain 🧠 wash Singaporean to vote you for corruption.  Disgusting ! Not happy with PAP & Singapore.  Migrate to Hongkong or Taiwan protest & protest la.  Singaporean don’t want Political fight.  Just want stability in the hand 🖐 of PAP.    So Regret voting for Opposition party last time 🙃,Opposition & Opposition Supporter go away la.  Dont try to Divide SG United & brain  wash Singaporean to vote you for corruption.  Disgusting ! Not happy with PAP & Singapore.  Migrate to Hongkong or Taiwan protest & protest la.  Singaporean dont want Political fight.  Just want stability in the hand  of PAP.    So Regret voting for Opposition party last time ,negative,hate
"My thanks to our respectable and honorable Prime Minister for this speech. Out of global situations, Singapore 🇸🇬 is the safest country in the world 🌎 where we all are feeling so safe and secured. It’s because of strong government and good leadership and leaders who are working day and night to make us all secured and safe. Feel proud. Let’s join hands for a greater and stronger Singapore 🇸🇬 🙏🏻😊","My thanks to our respectable and honorable Prime Minister for this speech. Out of global situations, Singapore  is the safest country in the world  where we all are feeling so safe and secured. Its because of strong government and good leadership and leaders who are working day and night to make us all secured and safe. Feel proud. Lets join hands for a greater and stronger Singapore  ",positive,happiness
I am proud to be a Singaporean😊 I feel happy and mentally strong after hearing our respectable Prime Minister’s energetic and motivating speech. His strong wishes of emerging as a stronger nation in the world even after this big crisis will sure come true. We all should be united and be confident 😊🙋🏻,I am proud to be a Singaporean I feel happy and mentally strong after hearing our respectable Prime Ministers energetic and motivating speech. His strong wishes of emerging as a stronger nation in the world even after this big crisis will sure come true. We all should be united and be confident ,positive,happiness
"I'm always inspired and motivated by PM's speeches.  With our PM and his Cabinet leading us, I'm confident we will overcome any obstacles and come out stronger than before #SGUnited","I'm always inspired and motivated by PM's speeches.  With our PM and his Cabinet leading us, I'm confident we will overcome any obstacles and come out stronger than before #SGUnited",positive,relief
Why daiso n value shops not open? They sell cheap necessities cheaper than NTUC and now so many jobless. What's the reason these shops not open?,Why daiso n value shops not open? They sell cheap necessities cheaper than NTUC and now so many jobless. What's the reason these shops not open?,neutral,worry
Thank u jesus forbourbpm singa roar jesus pnp government to take care of oyr people life safety needs daiky pray jesus blood cover u all pray to him to be safe jesus,Thank u jesus forbourbpm singa roar jesus pnp government to take care of oyr people life safety needs daiky pray jesus blood cover u all pray to him to be safe jesus,positive,love
"time for the ministers to cut pay. 4G leaders make a mess, refused to apologies for their mistakes and blame us. Paid so well doing a roaring business themselves and still got face to take such high salaries. Vietnam did better than us. 0 fatalities. less than 10% got infected. We your citizens who are paying you are not dumbass. You guys better buckle up or be shipped (sheep) out","time for the ministers to cut pay. 4G leaders make a mess, refused to apologies for their mistakes and blame us. Paid so well doing a roaring business themselves and still got face to take such high salaries. Vietnam did better than us. 0 fatalities. less than 10% got infected. We your citizens who are paying you are not dumbass. You guys better buckle up or be shipped (sheep) out",negative,sadness
It's all bc of wuhan. They should lockdown immediately...,It's all bc of wuhan. They should lockdown immediately...,neutral,neutral
