text,clean_text,sentiment,emotion
That time is 18 days when we have the circuit breaker,That time is 18 days when we have the circuit breaker,neutral,worry
"I cannot imagine the Nasty Moron in the WH speaking with so much intelligence, compassion & leadership. Majulah Singapura !","I cannot imagine the Nasty Moron in the WH speaking with so much intelligence, compassion & leadership. Majulah Singapura !",negative,worry
I kind of want it to extend until september,I kind of want it to extend until september,neutral,neutral
This is a good and best time to send all illegal immigrants from India and those who are having fake passes pls for god sake sent all India Indians back,This is a good and best time to send all illegal immigrants from India and those who are having fake passes pls for god sake sent all India Indians back,positive,worry
love Singapore！,love Singapore,positive,love
"Thanks God YHVH, the Almighty Creator of Heaven and Earth for Efficient and Caring Government.","Thanks God YHVH, the Almighty Creator of Heaven and Earth for Efficient and Caring Government.",positive,love
"Can't  believe usa has more than 1,000,000 cases.","Can't  believe usa has more than 1,000,000 cases.",neutral,worry
shrtlink.ca/572sekslol1inicexxx,shrtlink.ca/572sekslol1inicexxx,neutral,neutral
China is the joke of the world. Their government is backward and outdated. Time for the people to fight for their rights. Join in the world army to destroy Chinese government.,China is the joke of the world. Their government is backward and outdated. Time for the people to fight for their rights. Join in the world army to destroy Chinese government.,negative,hate
"https://youtu.be/6tbhfXRKgJk (hey guys! if yall are bored during this quarantine, do come and support my friend's channel! thank you!)","https://youtu.be/6tbhfXRKgJk (hey guys! if yall are bored during this quarantine, do come and support my friend's channel! thank you!)",neutral,happiness
excellent 😍,excellent ,positive,happiness
?,?,neutral,neutral
I want what your drinking  mr Lee,I want what your drinking  mr Lee,neutral,worry
Thank u so much pm lee .... Thansk to take care for us,Thank u so much pm lee .... Thansk to take care for us,positive,happiness
